"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.940971375E0,-1.567084789E0,6.850612760E-1,-7.707280517E-1
2.950953375E0,-1.397375107E0,7.127243280E-1,-8.601045609E-1
2.960935375E0,-1.202724576E0,5.656328797E-1,-9.557443261E-1
2.970917375E0,-1.109883785E0,8.271443099E-2,-1.066513777E0
2.980899375E0,-1.143504262E0,-4.219743311E-1,-1.187473297E0
2.990880375E0,-1.178043008E0,-7.218614221E-1,-1.264845848E0
3.000862375E0,-1.178417444E0,-9.667819738E-1,-1.293336391E0
3.010844375E0,-1.205945134E0,-1.242125630E0,-1.265163064E0
3.020826375E0,-1.228542805E0,-1.524458170E0,-1.192198396E0
3.030808375E0,-1.098867297E0,-1.623627424E0,-1.057705879E0
3.040790375E0,-9.594159126E-1,-1.647123814E0,-9.240748882E-1
3.050772375E0,-8.091603518E-1,-1.603964329E0,-7.781898975E-1
3.060754375E0,-6.770347357E-1,-1.499281168E0,-6.342355609E-1
3.070736375E0,-5.655623078E-1,-1.380306840E0,-5.021492243E-1
3.080717375E0,-4.378760159E-1,-1.274173260E0,-3.788796365E-1
3.090699375E0,-2.927672863E-1,-1.196794271E0,-2.884405553E-1
3.100681375E0,-1.293225735E-1,-1.098175049E0,-1.999928206E-1
3.110663375E0,8.537722379E-2,-9.303458333E-1,-1.376753896E-1
3.120645375E0,3.295959234E-1,-7.766712308E-1,-8.597249538E-2
3.130627375E0,5.721957684E-1,-6.710484028E-1,-3.434605151E-2
3.140609375E0,7.969865203E-1,-6.017736793E-1,-3.153529484E-3
3.150591375E0,9.767783880E-1,-5.650303364E-1,1.700979471E-2
3.160572375E0,1.083968401E0,-5.298442841E-1,6.126035750E-2
3.170554375E0,1.072788477E0,-4.763384461E-1,1.479784697E-1
3.180536375E0,1.025891304E0,-3.218142390E-1,2.140485644E-1
3.190518375E0,9.120143056E-1,-2.176481634E-1,2.868380845E-1
3.200500375E0,7.592090964E-1,-2.005110383E-1,3.249269426E-1
3.210482375E0,5.973719954E-1,-2.771842480E-1,2.877875865E-1
3.220464375E0,4.465449154E-1,-3.687850535E-1,1.911327094E-1
3.230445375E0,3.134614229E-1,-4.222834110E-1,4.433101788E-2
3.240427375E0,1.720267832E-1,-3.892948031E-1,-8.697780222E-2
3.250409375E0,-7.459083572E-3,-3.457822204E-1,-1.852303296E-1
