C,participant,context,session,axis,n_outliers,pct_outliers
2.5,Ana,crowded,session_1,acc_z,0,0.0
2.5,Ana,crowded,session_1,gyro_x,0,0.0
2.5,Ana,crowded,session_1,gyro_y,0,0.0
2.5,Ana,crowded,session_1,gyro_z,0,0.0
2.5,Ana,crowded,session_2,acc_x,10,0.06076441635778088
2.5,Ana,crowded,session_2,acc_y,3,0.018229324907334265
2.5,Ana,crowded,session_2,acc_z,3,0.018229324907334265
2.5,Ana,crowded,session_2,gyro_x,0,0.0
2.5,Ana,crowded,session_2,gyro_y,0,0.0
2.5,Ana,crowded,session_2,gyro_z,15,0.09114662453667133
2.5,Asena,crowded,session_1,acc_x,0,0.0
2.5,Asena,crowded,session_1,acc_y,0,0.0
2.5,Asena,crowded,session_1,acc_z,0,0.0
2.5,Asena,crowded,session_1,gyro_x,0,0.0
2.5,Asena,crowded,session_1,gyro_y,0,0.0
2.5,Asena,crowded,session_1,gyro_z,0,0.0
2.5,Asena,crowded,session_2,acc_x,3,0.016737335416201742
2.5,Asena,crowded,session_2,acc_y,5,0.0278955590270029
2.5,Asena,crowded,session_2,acc_z,0,0.0
2.5,Asena,crowded,session_2,gyro_x,0,0.0
2.5,Asena,crowded,session_2,gyro_y,0,0.0
2.5,Asena,crowded,session_2,gyro_z,0,0.0
2.5,Darius,crowded,session_1,acc_x,15,0.0858909757214842
2.5,Darius,crowded,session_1,acc_y,36,0.20613834173156206
2.5,Darius,crowded,session_1,acc_z,19,0.10879523591387998
2.5,Darius,crowded,session_1,gyro_x,0,0.0
2.5,Darius,crowded,session_1,gyro_y,2,0.011452130096197893
2.5,Darius,crowded,session_1,gyro_z,0,0.0
2.5,Darius,crowded,session_2,acc_x,16,0.08939046874127046
2.5,Darius,crowded,session_2,acc_y,37,0.20671545896418794
2.5,Darius,crowded,session_2,acc_z,20,0.11173808592658807
2.5,Darius,crowded,session_2,gyro_x,0,0.0
2.5,Darius,crowded,session_2,gyro_y,1,0.005586904296329404
2.5,Darius,crowded,session_2,gyro_z,0,0.0
2.5,Darius,normal,session_1,acc_x,1,0.005545081512698237
2.5,Darius,normal,session_1,acc_y,32,0.17744260840634357
2.5,Darius,normal,session_1,acc_z,15,0.08317622269047355
2.5,Darius,normal,session_1,gyro_x,0,0.0
2.5,Darius,normal,session_1,gyro_y,0,0.0
2.5,Darius,normal,session_1,gyro_z,0,0.0
2.5,Darius,normal,session_2,acc_x,2,0.011090778018077969
2.5,Darius,normal,session_2,acc_y,14,0.07763544612654577
2.5,Darius,normal,session_2,acc_z,7,0.038817723063272885
2.5,Darius,normal,session_2,gyro_x,0,0.0
2.5,Darius,normal,session_2,gyro_y,0,0.0
2.5,Darius,normal,session_2,gyro_z,4,0.022181556036155937
2.5,Darius,normal,session_3,acc_x,1,0.005545389009038984
2.5,Darius,normal,session_3,acc_y,8,0.044363112072311875
2.5,Darius,normal,session_3,acc_z,3,0.01663616702711695
2.5,Darius,normal,session_3,gyro_x,0,0.0
2.5,Darius,normal,session_3,gyro_y,1,0.005545389009038984
2.5,Darius,normal,session_3,gyro_z,0,0.0
2.5,Jun,crowded,session_1,acc_x,0,0.0
2.5,Jun,crowded,session_1,acc_y,1,0.005545081512698237
2.5,Jun,crowded,session_1,acc_z,30,0.1663524453809471
2.5,Jun,crowded,session_1,gyro_x,0,0.0
